# ASDC Cosmic rays database, created 2021-05-22 00:46:39
#Filename ; Particle ; Mission ; Reference ; Start Date ; Stop Date ; Notes
pos_ele_AMS_PRL2018_ekin_000.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=1.01 ; kinetic_energy_max=1.22
pos_ele_AMS_PRL2018_ekin_001.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=1.22 ; kinetic_energy_max=1.46
pos_ele_AMS_PRL2018_ekin_002.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=1.46 ; kinetic_energy_max=1.72
pos_ele_AMS_PRL2018_ekin_003.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=1.72 ; kinetic_energy_max=2.0
pos_ele_AMS_PRL2018_ekin_004.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=10.3 ; kinetic_energy_max=11.0
pos_ele_AMS_PRL2018_ekin_005.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=11.0 ; kinetic_energy_max=11.8
pos_ele_AMS_PRL2018_ekin_006.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=11.8 ; kinetic_energy_max=12.6
pos_ele_AMS_PRL2018_ekin_007.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=12.6 ; kinetic_energy_max=13.4
pos_ele_AMS_PRL2018_ekin_008.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=13.4 ; kinetic_energy_max=14.2
pos_ele_AMS_PRL2018_ekin_009.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=14.2 ; kinetic_energy_max=15.1
pos_ele_AMS_PRL2018_ekin_010.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=15.1 ; kinetic_energy_max=16.1
pos_ele_AMS_PRL2018_ekin_011.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=16.1 ; kinetic_energy_max=17.0
pos_ele_AMS_PRL2018_ekin_012.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=17.0 ; kinetic_energy_max=18.0
pos_ele_AMS_PRL2018_ekin_013.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=18.0 ; kinetic_energy_max=19.0
pos_ele_AMS_PRL2018_ekin_014.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=19.0 ; kinetic_energy_max=20.0
pos_ele_AMS_PRL2018_ekin_015.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=2.0 ; kinetic_energy_max=2.31
pos_ele_AMS_PRL2018_ekin_016.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=2.31 ; kinetic_energy_max=2.65
pos_ele_AMS_PRL2018_ekin_017.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=2.65 ; kinetic_energy_max=3.0
pos_ele_AMS_PRL2018_ekin_018.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=20.0 ; kinetic_energy_max=21.1
pos_ele_AMS_PRL2018_ekin_019.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=21.1 ; kinetic_energy_max=22.2
pos_ele_AMS_PRL2018_ekin_020.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=22.2 ; kinetic_energy_max=23.4
pos_ele_AMS_PRL2018_ekin_021.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=23.4 ; kinetic_energy_max=24.6
pos_ele_AMS_PRL2018_ekin_022.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=24.6 ; kinetic_energy_max=25.9
pos_ele_AMS_PRL2018_ekin_023.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=25.9 ; kinetic_energy_max=27.2
pos_ele_AMS_PRL2018_ekin_024.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=27.2 ; kinetic_energy_max=28.7
pos_ele_AMS_PRL2018_ekin_025.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=28.7 ; kinetic_energy_max=30.2
pos_ele_AMS_PRL2018_ekin_026.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=3.0 ; kinetic_energy_max=3.36
pos_ele_AMS_PRL2018_ekin_027.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=3.36 ; kinetic_energy_max=3.73
pos_ele_AMS_PRL2018_ekin_028.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=3.73 ; kinetic_energy_max=4.12
pos_ele_AMS_PRL2018_ekin_029.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=30.2 ; kinetic_energy_max=31.8
